conf,end,start,word
0.401233,142.29,141.63,решаемые
0.844569,142.53,142.38,но
0.844569,142.826924,142.53,главное
1.0,142.98,142.826924,чтобы
1.0,143.19,142.98,решить
1.0,143.43,143.19,нужно
1.0,143.85,143.46,очень
1.0,144.09,143.85,много
1.0,144.36,144.09,времени
0.642721,144.75,144.36,потратили
1.0,145.14,144.75397,заданий
1.0,145.53,145.17,очень
1.0,145.89,145.53,много
1.0,147.09,146.55,если
1.0,147.27,147.09,ты
1.0,147.63,147.27,готов
1.0,148.14,147.63,потратить
1.0,148.29,148.14,это
1.0,148.77,148.29,время
0.753718,149.49,149.07,то
0.931102,149.67,149.512061,ты
1.0,150.0,149.67,учишься
1.0,150.06,150.0,в
1.0,150.36,150.06,шаге
0.784142,150.51,150.36,все
1.0,151.14,150.51,круто
1.0,151.74,151.23,и
1.0,152.25,151.92,потом
1.0,152.79,152.25,выходишь
1.0,153.6,152.79,толковым
0.524325,154.47,153.9,садистом
1.0,154.59,154.47,или
0.504959,155.28,154.59,разработчикам
1.0,155.85,155.49,если
1.0,156.0,155.85,ты
1.0,156.09,156.0,не
1.0,156.42,156.09,готов
1.0,156.6,156.42,это
1.0,156.87,156.6,время
1.0,157.53,156.87,тратить
0.694902,157.95,157.77,то
1.0,158.07,157.95,до
1.0,158.49,158.07,свидания
0.684649,158.73,158.49,тебя
0.479335,159.24,158.73,погонять
1.0,160.71,160.14,интересно
1.0,160.89,160.71,как
0.577122,161.04,160.89,эта
0.801726,161.28,161.04,мысль
0.714438,162.69,162.12,современными
0.41509,163.17,162.72,понятия
0.424837,163.8,163.171963,образовании
0.543173,164.97,164.22,фиксацию
0.799543,165.66,165.18,попытка
1.0,166.26,165.66,заинтересовать
1.0,166.53,166.26,людей
1.0,166.59,166.53,в
0.357898,167.243818,166.59,обучении
0.607821,167.816118,167.25,мотивирует
0.707727,168.27,167.82,видела
1.0,169.62,169.17,наверное
1.0,169.74,169.62,эти
1.0,170.011143,169.74,штуки
0.912334,170.22,170.011143,все
0.936022,170.76,170.22,работают
0.516127,171.21,170.76,конечно
1.0,171.42,171.224517,может
1.0,171.54,171.42,быть
1.0,171.72,171.54,как
1.0,172.11,171.84,можно
1.0,172.59,172.11,использовать
0.582093,173.1,172.77,чтобы
0.933049,173.55,173.13,обучать
0.890455,173.82,173.55,наверно
1.0,174.12,173.823281,каким-то
1.0,174.45,174.12,вещам
1.0,175.32,174.63,попроще
1.0,175.83,175.71,но
1.0,176.07,175.83,когда
1.0,176.46,176.07,начинается
0.655227,176.79,176.46,какое-то
0.894888,177.09,176.82,хард
0.894888,177.36,177.09,кор
1.0,177.84,177.36,став
1.0,178.56,177.87,типа
0.45695,179.64,179.19,дейта
1.0,180.27,179.64,сайленс
0.851231,180.99,180.54,компьютеры
0.784386,181.5,180.99,сантино
0.380342,181.59,181.5,вам
0.535233,182.16,181.59,подобное
1.0,182.7,182.46,тут
1.0,182.76,182.7,к
1.0,183.27,182.76,сожалению
1.0,183.57,183.27,нужно
1.0,183.96,183.6,взять
1.0,184.14,183.96,всю
1.0,184.29,184.14,свою
1.0,184.83,184.29,мотивацию
1.0,185.31,184.98,свои
1.0,185.82,185.31,руки
1.0,186.87,186.15,приготовиться
1.0,186.96,186.87,к
0.446767,187.35,186.99,боль
1.0,187.8,187.432983,и
0.550074,188.58,187.89,страдания
1.0,188.73,188.64,и
1.0,189.81,189.69,и
1.0,190.08,189.81,только
1.0,190.32,190.08,тогда
0.642362,190.527144,190.32,быть
1.0,191.1,190.527144,результат
1.0,191.85,191.46,если
1.0,192.03,191.85,так
1.0,192.15,192.03,не
1.0,192.48,192.15,делать
0.5389,192.96,192.48,результата
1.0,193.08,192.973828,не
1.0,193.47,193.08,будет
1.0,194.82,193.98,поэтому
0.665253,195.831724,195.09,дефекация
1.0,195.99,195.831724,это
1.0,196.62,195.99,здорово
1.0,197.19,196.62,но
1.0,197.73,197.22,старые
1.0,198.39,197.73,добрые
1.0,199.92,199.44,упорной
1.0,200.31,199.92,работы
1.0,200.58,200.31,никуда
1.0,200.67,200.58,не
0.716333,201.09,200.67,девалась
1.0,201.54,201.15,хотите
1.0,201.9,201.54,добиться
1.0,202.71,201.9,результата
0.892284,204.09,203.13,обучении
1.0,204.78,204.27,другого
1.0,205.02,204.78,пути
1.0,205.32,205.02,нет
0.48704,206.76,206.37,но
1.0,207.24,206.85,и
1.0,207.57,207.27,ещё
1.0,207.75,207.57,одна
1.0,208.2,207.75,мысль
0.681499,210.06,209.64,цитат
1.0,210.42,210.06665,одного
1.0,211.32,210.42,японского
1.0,212.22,211.38,мудреца
1.0,213.45,213.09,боль
0.860879,214.2,213.45,неизбежно
0.76284,214.829429,214.8,а
0.922096,215.07,214.829429,вот
0.756548,216.06,215.07,страдания
0.85334,216.99,216.75,это
1.0,217.2,216.99,ваш
1.0,217.5,217.2,выбор
1.0,218.55,218.19,поэтому
1.0,218.64,218.55,я
1.0,218.97,218.64,надеюсь
1.0,219.12,218.97,что
0.723299,219.149458,219.12,у
1.0,219.566338,219.149458,меня
0.923338,220.62,219.87,обучении
1.0,221.04,220.65,более
1.0,221.31,221.04,будет
1.0,222.03,221.31,достаточно
0.78186,222.987275,222.78,от
0.920947,223.47,222.987275,страданий
1.0,223.59,223.47,я
1.0,223.98,223.59,постараюсь
0.720786,224.55,223.98,избавиться
1.0,225.78,225.3,следующий
1.0,226.02,225.78,раз
1.0,226.5,226.05,расскажу
1.0,226.86,226.5,как
1.0,227.52,226.86,справился
1.0,227.61,227.52,с
1.0,228.554561,227.61,алгоритмами
1.0,229.32,228.6,плюсами
1.0,229.5,229.32,и
0.621591,230.1,229.5,сервером
0.925137,230.55,230.34,до
1.0,230.88,230.55,связи
